code,cost,date_time,etc,gubun,h_code,incl_drugs,incl_goods,kind,kind_big,kind_mid,kind_small,max_cost,min_cost,name,pid
FZ690,60000,,,SFZ69001,N,N,N,신경계기능검사,행위,검사료,,,,주의력 검사(청각),1
FZ690,60000,,,SFZ690,N,N,N,신경계기능검사,행위,검사료,,,,주의력검사(시각),2
MZ004,50000,,,FMZ004,N,N,N,이학요법료,행위,이학요법료(물리치료료),,,,이명 재훈련 치료 / Tinnitus Retraining Therapy,3
OZ303,1000000,,,HZOZ00303,N,N,N,처치 및 수술료,행위,처치 및 수술료 등,,,,시아노아크릴레이트를 이용한 복재정맥 폐색술(유도료 포함) [편측],4
HD033,112475,,미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도),ROHD033(A~F),N,N,N,방사선치료료,행위,영상진단 및 방사선치료료,,,,치료 보조기구 -고정기구,5
HD032,243694,,미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도),ROHD032,N,N,N,방사선치료료,행위,영상진단 및 방사선치료료,,,,치료 보조기구 -보상체,6
HD031,69982,,미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도),ROHD03101,N,N,N,방사선치료료,행위,영상진단 및 방사선치료료,,,,치료 보조기구 -다엽콜리메이트,7
HD031,69982,,미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도),ROHD031,N,N,,방사선치료료,행위,영상진단 및 방사선치료료,,,,치료 보조기구 -차폐물,8
HD104,74987,,미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도),ROHD104,N,N,N,방사선치료료,행위,영상진단 및 방사선치료료,,,,전산화단층촬영 방사선치료계획(제2회부터) [1회당],9
HD103,124971,,미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도),ROHD103,N,N,N,방사선치료료,행위,영상진단 및 방사선치료료,,,,전산화단층촬영 방사선치료계획(제1회),10
HD102,24992,,미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도),ROHD102,N,N,N,방사선치료료,행위,영상진단 및 방사선치료료,,,,기본 체외조사 치료계획(제2회부터) [1회당],11
HD101,41239,,미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도),ROHD101,N,N,N,방사선치료료,행위,영상진단 및 방사선치료료,,,,기본 체외조사 치료계획(제1회),12
HD454,94545,,미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도),ROHD454,N,N,N,방사선치료료,행위,영상진단 및 방사선치료료,,,,기본 체외조사 5.0Gy이상[1회당],13
HD453,76824,,미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도),ROHD453,N,N,N,방사선치료료,행위,영상진단 및 방사선치료료,,,,기본 체외조사 2.5Gy 이상~5.0Gy미만[1회당],14
HD451,59092,,미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도),ROHD451,N,N,N,방사선치료료,행위,영상진단 및 방사선치료료,,,,기본 체외조사 2.5Gy미만[1회당],15
HZGS00200,3600000,,,HZGS00200,N,N,Y,처치 및 수술료,행위,치과 처치 및 수술료,,,,복강경 보조하 경항문 접근 직장 및 에스장 절제술,16
EZ829,90000,,,SZ11600,N,,,기능검사료(소화기 기능검사),행위,검사료,,,,간섬유화검사(Liver Fibroscan),17
FZ672,55000,,,SZ09701,N,,,기능 검사료(호흡기 기능검사),행위,검사료,,,,호기 산화질소 측정,18
56430,56430,,,LWD3730,N,,,내분비검사,행위,검사료,,,,항뮬러관호르몬[정밀면역검사],19
CZ5840000,63885,,,PWCZ815,N,N,N,병리검사료-사람유전자분리병리검사,행위,검사료,,,,사람유전자 분자병리검사-비유전성 유전자검사-메틸화특이중합효소연쇄반응,20
CZ202,17274,,,LWCZ202,N,,,내분비검사,행위,검사료,,,,성호르몬결합글로불린,21
EB401,15360,,급여 인정기준 외 실시한 경우 비급여,SEB401,N,,,기본초음파-단순초음파,행위,검사료,초음파 검사료,,,기본초음파-단순초음파(Ⅰ),22
EB402,30730,,급여 인정기준 외 실시한 경우 비급여,SEB402,N,,,기본초음파-단순초음파,행위,검사료,초음파 검사료,,,기본초음파-단순초음파(Ⅱ),23
EZ992,800000,,,SEZ992,N,,,초음파 검사료,행위,초음파 검사료,,,,내시경 초음파를 이용한 세침 흡인 세포 검사,24
EB458,219740,,,SEB458,N,,,초음파 검사료,행위,검사료,초음파 검사료,,,복부-소아 복부 초음파(만8세 미만),25
EZ9870000,800000,,,HZGT00700,N,N,N,초음파 검사료,행위,초음파 검사료,,,,진공보조 유방 생검시 유도 초음파,26
EB564020,409130,,,SEB564020,N,,,유도초음파-유도초음파,행위,검사료,초음파 검사료,,,유도초음파-(조영)유도초음파(Ⅳ),27
EB561,52450,,급여 인정기준 외 실시한 경우 비급여,SEB561,N,,,유도초음파-유도초음파,행위,검사료,초음파 검사료,,,유도초음파-유도초음파(Ⅰ),28
EB562,104900,,급여 인정기준 외 실시한 경우 비급여,SEB562,N,,,유도초음파-유도초음파,행위,검사료,초음파 검사료,,,유도초음파-유도초음파(Ⅱ),29
EB563,125890,,급여 인정기준 외 실시한 경우 비급여,SEB563,N,,,유도초음파-유도초음파,행위,검사료,초음파 검사료,,,유도초음파-유도초음파(Ⅲ),30
EB564,314710,,급여 인정기준 외 실시한 경우 비급여,SEB564,N,,,유도초음파-유도초음파,행위,검사료,초음파 검사료,,,유도초음파-유도초음파(Ⅳ),31
FY883,30000,,,SZ10900,N,,,기능 검사료(호흡기기능검사),행위,검사료,,,,정량적감각기능검사,32
EB447010,118960,,급여 인정기준 외 실시한 경우 비급여,SEB44701,N,N,N,진단초음파-복부,행위,검사료,초음파 검사료,,,진단초음파-(도플러)복부-항문초음파만 시행한 경우,33
EB414,90960,,급여 인정기준 외 실시한 경우 비급여,SEB414,N,N,N,진단초음파-두경부,행위,검사료,초음파 검사료,,,진단초음파-경부-갑상선·부갑상선,34
EB414001,45490,,급여 인정기준 외 실시한 경우 비급여,SEB41403,N,N,N,진단초음파/두경부-경부 초음파,행위,검사료,초음파 검사료,,,진단초음파-(제한적)경부-갑상선·부갑상선,35
EB415,90960,,급여 인정기준 외 실시한 경우 비급여,SEB415,N,N,N,진단초음파-두경부,행위,검사료,초음파 검사료,,,진단초음파-경부-갑상선·부갑상선 제외한 경부,36
EB415001,45490,,건강보험 기준외 비급여,SEB41503,N,N,N,진단초음파-두경부초음파,행위,검사료,초음파 검사료,,,진단초음파-경부-(제한적)갑상선·부갑상선 제외한 경부,37
