addr1,addr2,date_time,fax,latitude,longitude,name,pid,region_big,region_small,tel,type,use_yn,zipcd
전남 강진군,강진읍 탐진로 5,1991-12-18 00:00:00,061-433-1003,34.6372553,126.7574570,강진의료원,1,군,전남,061-4332-1679,종합병원,Y,59227
전남 곡성군,곡성읍 곡성로 761,2007-09-01 00:00:00,061-360-6099,35.2763301,127.2882945,곡성사랑병원,2,군,전남,061-360-6000,병원,Y,57540
전남 광양시,광양읍 인덕로 992,2008-11-17 00:00:00,061-762-7070,34.9711046,127.5821405,광양병원,3,시,전남,061-761-7577,병원,Y,57753
전남 구례군,구례읍 동편제길 4,2002-07-12 00:00:00,061-783-0724,35.2159901,127.4634870,구례병원,4,군,전남,061-780-3300,병원,Y,57645
전남 고흥군,도양읍 차경구렁목길 211,2010-01-01 00:00:00,061-840-1122,34.5465248,127.1457469,녹동현대병원,5,군,전남,061-840-1200,병원,Y,59552
전남 담양군,담양읍 천변7길 19,2005-01-04 00:00:00,061-381-9793,35.3152638,126.9827470,담양사랑병원,6,군,전남,061-380-9000,병원,Y,57343
전남 보성군,벌교읍 남하로 12,2008-11-17 00:00:00,061-858-5533,34.8336900,127.3459825,벌교삼호병원,7,군,전남,061-859-5000,병원,Y,59431
전남 보성군,미력면 가평길 36-17,2002-07-11 00:00:00,061-853-1516,34.7755385,127.1051557,보성아산병원,8,군,전남,061-850-3114,병원,Y,59443
전남 신안군,비금면 송치길 155-11,2006-02-01 00:00:00,061-261-3042,34.7223845,125.9330008,신안대우병원,9,군,전남,061-262-3301,병원,Y,58847
전남 신안군,지도읍 봉리길 16-3,2007-05-03 00:00:00,061-275-1624,35.0606316,126.2115923,서울의원(신안),10,군,전남,061-275-7650,의원,Y,58813
전남 완도군,완도읍 청해진동로 63,1999-05-14 00:00:00,061-554-9323,34.3170561,126.7356881,완도대성병원,11,군,전남,061-553-1234,병원,Y,59109
전북 익산시,평동로 665,2010-01-01 00:00:00,063-842-4964,35.9313235,126.9526763,익산제일병원,12,시,전북,063-840-2305,병원,Y,54604
전남 장성군,장성읍 오동촌길 16 (부강아트빌),2006-10-01 00:00:00,061-390-9299,35.3029027,126.7950398,장성병원,13,군,전남,061-390-9000,병원,Y,57216
전북 정읍시,상동중앙로 94 (상동),2010-01-01 00:00:00,063-535-4411,35.5607198,126.8662007,정읍사랑병원,14,시,전북,063-530-3100,병원,Y,56192
전남 진도군,진도읍 남문길 12-11,2003-07-29 00:00:00,061-543-0511,34.4792952,126.2652077,(의) 남우의료재단 진도전남병원,15,군,전남,061-544-7933,병원,Y,58926
전남 함평군,함평읍 영수길 136,2002-12-26 00:00:00,061-324-1123,35.0619963,126.5198848,함평성심병원,16,군,전남,061-324-0001,병원,Y,57154
전북 부안군,부안읍 부령로 33,2002-06-17 00:00:00,063-582-9800,35.7327818,126.7460738,혜성병원,17,군,전북,063-583-5001,병원,Y,56304
전남 화순군,화순읍 충의로 109,2002-12-26 00:00:00,061-374-7679,35.0561932,126.9896121,화순고려병원,18,군,전남,061-370-3700,병원,Y,58124
전북 무주군,무주읍 한풍루로 413,2002-05-08 00:00:00,063-324-4990,36.0058824,127.6717091,무주군보건의료원,19,군,전북,063-320-8314,의원,Y,55515
전남 완도군,금일읍 금일로 397,2000-03-20 00:00:00,061-550-6799,34.3492508,127.0299988,완도금일보건지소,20,군,전남,061-550-6793,의원,Y,59140
전남 완도군,노화읍 노화로870번길 23,2006-01-01 00:00:00,061-552-8419,34.1773410,126.5721722,완도신노화의원,21,군,전남,061-553-5700,의원,Y,59158
전북 임실군,임실읍 호국로 1680,1994-02-01 00:00:00,063-640-3317,35.6127033,127.2873253,임실군보건의료원,22,군,전북,063-640-3320,의원,Y,55927
전북 장수군,장수읍 장천로 247,1995-03-09 00:00:00,063-350-3190,35.6542283,127.5197623,장수군보건의료원,23,군,전북,063-351-8000,의원,Y,55631
전남 진도군,조도면 창유1길 58-26,2001-12-01 00:00:00,061-542-6153,34.2949572,126.0466575,조도면보건지소,24,군,전남,061-542-5153,의원,Y,58956
전북 남원시,용성로 79 (동충동),2010-01-01 00:00:00,063-625-8979,35.4136077,127.3855720,중앙가정의학과의원,25,시,전북,063-625-8977,의원,Y,55761
