pid,name,type,region_big,region_small,tel,fax,zipcd,addr1,addr2,latitude,longitude,date_time,use_yn,island_area
1,강진의료원,종합병원,군,전남,061-4332-1679,061-433-1003,59227,전남 강진군,강진읍 탐진로 5,34.6372553,126.757457,1991-12-18 00:00:00,Y,불포함
2,곡성사랑병원,병원,군,전남,061-360-6000,061-360-6099,57540,전남 곡성군,곡성읍 곡성로 761,35.2763301,127.2882945,2007-09-01 00:00:00,Y,불포함
3,광양병원,병원,시,전남,061-761-7577,061-762-7070,57753,전남 광양시,광양읍 인덕로 992,34.9711046,127.5821405,2008-11-17 00:00:00,Y,불포함
4,구례병원,병원,군,전남,061-780-3300,061-783-0724,57645,전남 구례군,구례읍 동편제길 4,35.2159901,127.463487,2002-07-12 00:00:00,Y,불포함
5,녹동현대병원,병원,군,전남,061-840-1200,061-840-1122,59552,전남 고흥군,도양읍 차경구렁목길 211,34.5465248,127.1457469,2010-01-01 00:00:00,Y,포함
6,담양사랑병원,병원,군,전남,061-380-9000,061-381-9793,57343,전남 담양군,담양읍 천변7길 19,35.3152638,126.982747,2005-01-04 00:00:00,Y,불포함
7,벌교삼호병원,병원,군,전남,061-859-5000,061-858-5533,59431,전남 보성군,벌교읍 남하로 12,34.83369,127.3459825,2008-11-17 00:00:00,Y,포함
8,보성아산병원,병원,군,전남,061-850-3114,061-853-1516,59443,전남 보성군,미력면 가평길 36-17,34.7755385,127.1051557,2002-07-11 00:00:00,Y,불포함
9,신안대우병원,병원,군,전남,061-262-3301,061-261-3042,58847,전남 신안군,비금면 송치길 155-11,34.7223845,125.9330008,2006-02-01 00:00:00,Y,포함
10,서울의원(신안),의원,군,전남,061-275-7650,061-275-1624,58813,전남 신안군,지도읍 봉리길 16-3,35.0606316,126.2115923,2007-05-03 00:00:00,Y,포함
11,완도대성병원,병원,군,전남,061-553-1234,061-554-9323,59109,전남 완도군,완도읍 청해진동로 63,34.3170561,126.7356881,1999-05-14 00:00:00,Y,불포함
12,익산제일병원,병원,시,전북,063-840-2305,063-842-4964,54604,전북 익산시,평동로 665,35.9313235,126.9526763,2010-01-01 00:00:00,Y,불포함
13,장성병원,병원,군,전남,061-390-9000,061-390-9299,57216,전남 장성군,장성읍 오동촌길 16 (부강아트빌),35.3029027,126.7950398,2006-10-01 00:00:00,Y,불포함
14,정읍사랑병원,병원,시,전북,063-530-3100,063-535-4411,56192,전북 정읍시,상동중앙로 94 (상동),35.5607198,126.8662007,2010-01-01 00:00:00,Y,불포함
15,(의) 남우의료재단 진도전남병원,병원,군,전남,061-544-7933,061-543-0511,58926,전남 진도군,진도읍 남문길 12-11,34.4792952,126.2652077,2003-07-29 00:00:00,Y,불포함
16,함평성심병원,병원,군,전남,061-324-0001,061-324-1123,57154,전남 함평군,함평읍 영수길 136,35.0619963,126.5198848,2002-12-26 00:00:00,Y,불포함
17,혜성병원,병원,군,전북,063-583-5001,063-582-9800,56304,전북 부안군,부안읍 부령로 33,35.7327818,126.7460738,2002-06-17 00:00:00,Y,불포함
18,화순고려병원,병원,군,전남,061-370-3700,061-374-7679,58124,전남 화순군,화순읍 충의로 109,35.0561932,126.9896121,2002-12-26 00:00:00,Y,포함
19,무주군보건의료원,의원,군,전북,063-320-8314,063-324-4990,55515,전북 무주군,무주읍 한풍루로 413,36.0058824,127.6717091,2002-05-08 00:00:00,Y,불포함
20,완도금일보건지소,의원,군,전남,061-550-6793,061-550-6799,59140,전남 완도군,금일읍 금일로 397,34.3492508,127.0299988,2000-03-20 00:00:00,Y,포함
21,완도신노화의원,의원,군,전남,061-553-5700,061-552-8419,59158,전남 완도군,노화읍 노화로870번길 23,34.177341,126.5721722,2006-01-01 00:00:00,Y,포함
22,임실군보건의료원,의원,군,전북,063-640-3320,063-640-3317,55927,전북 임실군,임실읍 호국로 1680,35.6127033,127.2873253,1994-02-01 00:00:00,Y,불포함
23,장수군보건의료원,의원,군,전북,063-351-8000,063-350-3190,55631,전북 장수군,장수읍 장천로 247,35.6542283,127.5197623,1995-03-09 00:00:00,Y,불포함
24,조도면보건지소,의원,군,전남,061-542-5153,061-542-6153,58956,전남 진도군,조도면 창유1길 58-26,34.2949572,126.0466575,2001-12-01 00:00:00,Y,포함
25,중앙가정의학과의원,의원,시,전북,063-625-8977,063-625-8979,55761,전북 남원시,용성로 79 (동충동),35.4136077,127.385572,2010-01-01 00:00:00,Y,불포함
26,흑산면보건지소,의원,군,전남,061-275-9062,061-240-8837,58863,전남 신안군,흑산면 예리3길 61,34.6873489,125.4458703,2003-08-18 00:00:00,Y,포함
27,고창병원,종합병원,군,전북,063-560-5600,063-563-4549,56436,전북 고창군,고창읍 화신1길 9,35.4364207,126.693663,2002-03-06 00:00:00,Y,불포함
28,고흥종합병원,종합병원,군,전남,061-835-6000,061-832-1999,59535,전남 고흥군,고흥읍 고흥로 1935,34.6210043,127.2939397,1999-12-23 00:00:00,Y,불포함
29,광양사랑병원,종합병원,시,전남,061-797-7000,061-797-7878,57788,전남 광양시,공영로 71 (중동),34.9352802,127.695667,2002-07-11 00:00:00,Y,불포함
30,군산의료원,종합병원,시,전북,063-472-5000,063-472-5460,54105,전북 군산시,의료원로 27,35.9548898,126.7119167,1999-03-23 00:00:00,Y,불포함
31,나주종합병원,종합병원,시,전남,061-330-6100,061-330-6101,58251,전남 나주시,영산로 5419 (성북동),35.0362514,126.7192551,2002-11-15 00:00:00,Y,불포함
32,남원의료원,종합병원,시,전북,063-620-1114,063-632-3337,55726,전북 남원시,충정로 365 (고죽동),35.4214398,127.3945969,1994-12-22 00:00:00,Y,불포함
33,목포시의료원,종합병원,시,전남,061-260-6500,061-279-3242,58701,전남 목포시,이로로 18,34.8041235,126.4053521,1990-02-23 00:00:00,Y,불포함
34,대송의료재단 무안병원,종합병원,군,전남,061-450-3000,061-450-3253,58532,전남 무안군,무안읍 몽탄로 65,34.9914382,126.4891531,2002-12-26 00:00:00,Y,불포함
35,익산병원,종합병원,시,전북,063-840-9114,063-840-9458,54543,전북 익산시,무왕로 969 (신동),35.9580356,126.9622373,2001-06-18 00:00:00,Y,불포함
36,장흥종합병원,종합병원,군,전남,061-8628-3004,061-863-1132,59325,전남 장흥군,장흥읍 흥성로 74,34.6770898,126.9111921,2005-02-10 00:00:00,Y,불포함
37,전주예수병원,종합병원,시,전북,063-230-8114,063-230-8115,54987,전북 전주시,완산구 서원로 365 (중화산동1가),35.8154717,127.1261963,1990-12-24 00:00:00,Y,불포함
38,정읍아산병원,종합병원,시,전북,063-530-6114,063-530-6624,56153,전북 정읍시,충정로 606-22 (용계동),35.5720587,126.8490295,1991-12-18 00:00:00,Y,불포함
39,해남종합병원,종합병원,군,전남,061-530-0114,061-533-4556,59024,전남 해남군,해남읍 해남로 45,34.5716031,126.6130203,2002-02-01 00:00:00,Y,불포함
40,(의)명성의료재단 영양병원,병원,군,경북,054-682-0727,054-683-2996,36541,경북 영양군,영양읍 동서대로 75,36.6625188,129.1172504,2002-01-01 00:00:00,Y,불포함
41,(의)봉화해성병원,병원,군,경북,054-674-1332,054-674-0010,36239,경북 봉화군,봉화읍 보밑길 3,36.8916206,128.7333926,2002-01-01 00:00:00,Y,불포함
42,(의)석촌의료재단 성주병원,병원,군,경북,054-932-1212,054-933-5639,40026,경북 성주군,성주읍 성주읍 3길 5-3,35.9188037,128.2864166,2003-01-01 00:00:00,Y,불포함
43,세명종합병원,종합병원,시,경북,054-819-8389,054-819-8551,38619,경북 경산시,경안로 208,35.8260728,128.7372057,2008-11-01 00:00:00,Y,불포함
