addr,date_time,name,num2_bed,num_scan,pid,region_big,region_small,tel,type
강진읍 탐진로 5,2025-02-06 00:00:00,강진의료원,199,10,1,전남,강진군,061-433-2167~9,병원
곡성읍 곡성로 761,2025-02-06 00:00:00,곡성사랑병원,46,6,2,전남,곡성군,061-360-6000,병원
광양읍 인덕로 992,2024-10-17 00:00:00,광양병원,30,1,3,전남,광양시,061-761-7577,병원
구례읍 동편제길 4,2025-02-06 00:00:00,구례병원,97,6,4,전남,구례군,061-780-3300,병원
도양읍 차경구렁목길 211,2025-12-04 00:00:00,녹동현대병원,107,5,5,전남,고흥군,061-840-1200,병원
담양읍 천변7길 19,2025-02-21 00:00:00,담양사랑병원,86,7,6,전남,담양군,061-380-9000,병원
벌교읍 남하로 12,2024-10-17 00:00:00,벌교삼호병원,341,6,7,전남,보성군,061-859-5000,병원
미력면 가평길 36-17,2025-02-06 00:00:00,보성아산병원,100,4,8,전남,보성군,061-850-3114,병원
비금면 송치길 155-11,2025-02-05 00:00:00,신안대우병원,30,3,9,전남,신안군,061-262-3301,병원
지도읍 봉리길 16-3,2025-12-04 00:00:00,서울의원(신안),28,10,10,전남,신안군,061-275-7650,의원
완도읍 청해진동로 63,2025-02-06 00:00:00,완도대성병원,83,5,11,전남,완도군,061-553-1234,병원
평동로 665,2025-12-04 00:00:00,익산제일병원,68,5,12,전북,익산시,063-840-2305,병원
장성읍 오동촌길 16 (부강아트빌),2025-02-21 00:00:00,장성병원,72,6,13,전남,장성군,061-390-9000,병원
상동중앙로 94 (상동),2025-12-04 00:00:00,정읍사랑병원,166,7,14,전북,정읍시,063-530-3100,병원
진도읍 남문길 12-11,2025-04-16 00:00:00,(의) 남우의료재단 진도전남병원,100,4,15,전남,진도군,061-544-7933,병원
함평읍 영수길 136,2025-02-21 00:00:00,함평성심병원,40,3,16,전남,함평군,061-324-0001,병원
부안읍 부령로 33,2025-02-06 00:00:00,혜성병원,14,4,17,전북,부안군,063-583-5001,병원
화순읍 충의로 109,2025-02-06 00:00:00,화순고려병원,248,6,18,전남,화순군,061-370-3700,병원
무주읍 한풍루로 413,2025-02-05 00:00:00,무주군보건의료원,30,6,19,전북,무주군,063-320-8314,의원
금일읍 금일로 397,2025-02-21 00:00:00,완도금일보건지소,0,3,20,전남,완도군,061-550-6793,의원
노화읍 노화로870번길 23,2025-11-19 00:00:00,완도신노화의원,0,7,21,전남,완도군,061-553-5700,의원
임실읍 호국로 1680,2025-02-05 00:00:00,임실군보건의료원,0,5,22,전북,임실군,063-640-3320,의원
장수읍 장천로 247,2025-02-21 00:00:00,장수군보건의료원,30,8,23,전북,장수군,063-351-8000,의원
